,true_value,impute_value
275,316.0009632,316.0009632
276,331.5505273,331.5505273
277,339.5483783,339.5483783
278,349.5132071,349.5132071
279,354.2714976,354.2714976
280,380.2668065,380.2668065
281,411.5360438,411.5360438
282,501.3658295,501.3658295
283,508.403751,508.403751
284,494.869332,494.869332
285,523.7682534,523.7682534
286,541.0782721,541.0782721
287,618.7767572,618.7767572
288,611.1279696,611.1279696
289,626.5801536,626.5801536
290,694.36787,694.36787
291,714.5424489,714.5424489
292,711.1263653,711.1263653
293,713.2901213,713.2901213
294,731.2406802,731.2406802
295,758.4946815,758.4946815
296,733.1812148,733.1812148
297,725.1246461,725.1246461
298,714.2713661,714.2713661
299,748.0940241,748.0940241
300,735.7329131,735.7329131
301,778.0035182,778.0035182
302,787.6336547,787.6336547
303,788.3610055,788.3610055
304,783.1308821,783.1308821
305,803.7185613,803.7185613
306,805.0939651,805.0939651
307,817.4766734,817.4766734
308,843.3176038,843.3176038
309,847.8014685,462.8849455533906
310,863.440937,863.440937
311,872.3926433,872.3926433
312,859.3599066,859.3599066
313,893.5083768,893.5083768
314,899.7628229,899.7628229
315,950.1552408,950.1552408
316,928.3812772,928.3812772
317,916.20828,916.20828
318,916.7641584,916.7641584
319,976.1441694,976.1441694
320,945.841783,945.841783
321,938.2806386,938.2806386
322,971.1032104,971.1032104
323,975.1954587,975.1954587
324,998.0922072,998.0922072
325,1009.274423,1009.274423
326,1005.844341,1005.844341
327,997.496816,997.496816
328,977.9086068,463.91494448407974
329,956.5795153,956.5795153
330,927.103598,927.103598
331,924.39657,924.39657
332,907.1230679,907.1230679
333,933.6476302,933.6476302
334,936.4487969,936.4487969
335,935.2857811,935.2857811
336,914.4107971,459.3236357552352
337,900.7586422,466.55777381638035
338,884.3043628,884.3043628
339,897.5469291,897.5469291
340,941.2880771,941.2880771
341,893.2427435,466.6271598857263
342,887.9918083,887.9918083
343,880.1355836,880.1355836
344,910.7001784,910.7001784
345,888.0717958,888.0717958
346,906.3130095,906.3130095
347,928.6622427,928.6622427
348,916.0829073,916.0829073
349,905.9958053,905.9958053
350,903.0712688,903.0712688
351,894.1229635,894.1229635
352,908.8267521,908.8267521
353,904.4616789,463.1676988222931
354,859.2101275,859.2101275
355,916.9017812,465.0353093449829
356,902.7551306,902.7551306
357,931.9096448,931.9096448
358,910.7509682,910.7509682
359,882.7444547,882.7444547
360,903.5261604,903.5261604
361,910.3946073,910.3946073
362,915.886542,915.886542
363,913.3841466,913.3841466
364,939.1092366,939.1092366
365,902.685912,466.33090928520903
366,923.5857041,923.5857041
367,928.5195636,928.5195636
368,916.8196074,916.8196074
369,899.9137197,899.9137197
370,896.5507727,896.5507727
371,923.815908,923.815908
372,914.4771549,914.4771549
373,968.6382477,968.6382477
374,987.6693215,987.6693215
375,913.9114856,913.9114856
376,892.1775353,892.1775353
377,870.27969,870.27969
378,877.1184963,877.1184963
379,877.0821762,877.0821762
380,858.7691646,858.7691646
381,909.4935104,909.4935104
382,849.7807796,849.7807796
383,858.4107816,858.4107816
384,855.5212154,855.5212154
385,842.7892482,842.7892482
386,827.2475539,827.2475539
387,801.3785102,465.1008390338675
388,781.9750513,465.6451930370523
389,762.2543697,762.2543697
390,761.8232414,761.8232414
391,753.9027135,753.9027135
392,740.2230691,740.2230691
393,735.0074636,735.0074636
394,743.0085355,743.0085355
